True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,,,t=3.24 p=1.50e-03 q=5.00e-03 d=0.14,,,,t=3.80 p=2.00e-04 q=9.00e-04 d=0.17,,,t=13.92 p=0.00e+00 q=0.00e+00 d=0.81,t=4.19 p=1.00e-04 q=2.00e-04 d=0.40
labcoat vs jeans,t=-2.67 p=8.60e-03 q=2.22e-02 d=0.16,,,,,,t=-2.71 p=7.60e-03 q=2.01e-02 d=0.33,,t=3.11 p=2.30e-03 q=7.20e-03 d=0.36,t=3.01 p=3.20e-03 q=9.40e-03 d=0.45,t=7.27 p=0.00e+00 q=0.00e+00 d=1.15,t=6.68 p=0.00e+00 q=0.00e+00 d=0.96
labcoat vs cardigan,,,,,,t=3.52 p=6.00e-04 q=2.20e-03 d=0.23,t=-2.50 p=1.38e-02 q=3.32e-02 d=0.26,,t=3.84 p=2.00e-04 q=8.00e-04 d=0.31,t=4.52 p=0.00e+00 q=1.00e-04 d=0.57,t=11.87 p=0.00e+00 q=0.00e+00 d=1.57,t=11.32 p=0.00e+00 q=0.00e+00 d=1.59
labcoat vs miniskirt,,,,,,,,t=3.10 p=2.40e-03 q=7.30e-03 d=0.27,t=3.36 p=1.00e-03 q=3.60e-03 d=0.33,t=3.43 p=8.00e-04 q=2.80e-03 d=0.44,t=4.69 p=0.00e+00 q=0.00e+00 d=0.67,t=8.03 p=0.00e+00 q=0.00e+00 d=0.96
labcoat vs academicgown,,,t=2.39 p=1.83e-02 q=4.22e-02 d=0.11,,,,t=-3.09 p=2.50e-03 q=7.60e-03 d=0.19,,,,t=6.45 p=0.00e+00 q=0.00e+00 d=0.42,t=3.84 p=2.00e-04 q=8.00e-04 d=0.40
labcoat vs pajamas,,,,,,,,,,t=4.85 p=0.00e+00 q=0.00e+00 d=0.45,t=8.11 p=0.00e+00 q=0.00e+00 d=0.64,
labcoat vs oscilloscope,t=-4.18 p=1.00e-04 q=3.00e-04 d=0.49,,,,,,t=-4.35 p=0.00e+00 q=1.00e-04 d=0.37,,,,t=3.87 p=2.00e-04 q=7.00e-04 d=0.58,
labcoat vs suit,,,t=3.69 p=3.00e-04 q=1.30e-03 d=0.16,t=2.63 p=9.70e-03 q=2.46e-02 d=0.12,,t=2.73 p=7.20e-03 q=1.91e-02 d=0.16,,,,,t=4.46 p=0.00e+00 q=1.00e-04 d=0.42,t=3.89 p=2.00e-04 q=7.00e-04 d=0.46
labcoat vs notePC,t=-2.52 p=1.31e-02 q=3.18e-02 d=0.11,,,,t=2.67 p=8.50e-03 q=2.20e-02 d=0.20,,t=-2.46 p=1.53e-02 q=3.61e-02 d=0.17,,,t=3.45 p=8.00e-04 q=2.70e-03 d=0.35,t=3.60 p=5.00e-04 q=1.70e-03 d=0.41,
labcoat vs sunscreen,,t=-2.72 p=7.50e-03 q=1.98e-02 d=0.14,,,t=2.56 p=1.18e-02 q=2.90e-02 d=0.27,,t=-2.60 p=1.05e-02 q=2.63e-02 d=0.31,,,t=3.28 p=1.40e-03 q=4.50e-03 d=0.43,t=6.52 p=0.00e+00 q=0.00e+00 d=0.94,t=7.64 p=0.00e+00 q=0.00e+00 d=1.19
labcoat vs wig,t=-2.55 p=1.18e-02 q=2.91e-02 d=0.13,,,,,,t=-2.97 p=3.60e-03 q=1.05e-02 d=0.29,,,,t=7.22 p=0.00e+00 q=0.00e+00 d=0.53,
labcoat vs lipstick,t=-4.38 p=0.00e+00 q=1.00e-04 d=0.50,,,,,,,,,,t=11.64 p=0.00e+00 q=0.00e+00 d=1.09,t=5.74 p=0.00e+00 q=0.00e+00 d=0.60
labcoat vs bra,,t=-3.42 p=9.00e-04 q=3.00e-03 d=0.09,t=-2.66 p=8.90e-03 q=2.28e-02 d=0.14,,,,t=-6.50 p=0.00e+00 q=0.00e+00 d=0.70,,,t=5.95 p=0.00e+00 q=0.00e+00 d=0.63,t=11.77 p=0.00e+00 q=0.00e+00 d=1.56,t=6.54 p=0.00e+00 q=0.00e+00 d=0.99
labcoat vs windsor,,,,t=2.41 p=1.75e-02 q=4.06e-02 d=0.11,,t=2.55 p=1.21e-02 q=2.97e-02 d=0.15,,,t=2.50 p=1.36e-02 q=3.28e-02 d=0.19,,t=9.49 p=0.00e+00 q=0.00e+00 d=0.67,
labcoat vs desk,t=-2.83 p=5.40e-03 q=1.48e-02 d=0.17,,,,,,,,,,t=7.21 p=0.00e+00 q=0.00e+00 d=1.01,
labcoat vs library,,t=-2.49 p=1.43e-02 q=3.41e-02 d=0.11,,t=-3.66 p=4.00e-04 q=1.40e-03 d=0.22,,,,,t=2.64 p=9.20e-03 q=2.36e-02 d=0.25,,t=3.84 p=2.00e-04 q=8.00e-04 d=0.44,t=-5.89 p=0.00e+00 q=0.00e+00 d=0.45
