True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat,t=-2.45 p=1.49e-02 q=4.63e-02 d=0.28,,,,t=-2.99 p=3.06e-03 q=1.21e-02 d=0.32,,t=-6.25 p=1.39e-09 q=2.76e-08 d=0.69,,,,t=3.71 p=2.45e-04 q=1.48e-03 d=0.40,t=-7.49 p=7.73e-13 q=2.63e-11 d=0.83
stethoscope,,,,t=-2.67 p=8.01e-03 q=2.79e-02 d=0.29,t=-3.32 p=1.00e-03 q=4.83e-03 d=0.36,,t=-5.60 p=4.82e-08 q=6.66e-07 d=0.61,,,,t=-3.38 p=8.24e-04 q=4.07e-03 d=0.38,t=-3.04 p=2.64e-03 q=1.07e-02 d=0.31
jeans,,,,,,,,t=3.80 p=1.88e-04 q=1.18e-03 d=0.45,,t=4.39 p=1.67e-05 q=1.40e-04 d=0.51,,t=-2.79 p=5.60e-03 q=2.06e-02 d=0.31
cardigan,,,,,,,,,,,,t=-12.16 p=1.30e-27 q=2.12e-25 d=1.24
miniskirt,,,,,t=-2.62 p=9.36e-03 q=3.14e-02 d=0.29,,,,,t=2.51 p=1.28e-02 q=4.03e-02 d=0.29,t=3.29 p=1.19e-03 q=5.54e-03 d=0.41,t=-5.08 p=6.62e-07 q=7.40e-06 d=0.54
academicgown,t=-2.44 p=1.55e-02 q=4.72e-02 d=0.28,,,,,,t=-3.14 p=1.90e-03 q=8.23e-03 d=0.37,,,,,t=-10.27 p=1.56e-19 q=1.06e-17 d=1.33
pajamas,,,,,,,t=-3.52 p=4.91e-04 q=2.66e-03 d=0.39,,,,t=-5.44 p=1.10e-07 q=1.45e-06 d=0.59,t=-9.84 p=1.55e-19 q=1.06e-17 d=0.98
oscilloscope,,,,,,,,,t=2.44 p=1.53e-02 q=4.69e-02 d=0.28,t=3.48 p=5.75e-04 q=2.98e-03 d=0.39,t=6.41 p=5.45e-10 q=1.17e-08 d=0.68,t=12.13 p=2.32e-27 q=2.70e-25 d=1.23
suit,t=-2.63 p=9.05e-03 q=3.09e-02 d=0.30,,,,,,,,,t=4.00 p=8.08e-05 q=5.93e-04 d=0.41,t=7.92 p=4.49e-14 q=1.83e-12 d=0.86,
notePC,,,,,t=-3.62 p=3.48e-04 q=1.98e-03 d=0.39,,,,,,t=5.69 p=3.29e-08 q=4.71e-07 d=0.65,t=6.13 p=2.81e-09 q=5.20e-08 d=0.69
sunscreen,,,,,t=-4.70 p=3.91e-06 q=3.67e-05 d=0.49,,t=-3.81 p=1.69e-04 q=1.08e-03 d=0.41,,,,,t=-5.81 p=1.78e-08 q=2.69e-07 d=0.67
wig,,,,,,,,t=2.42 p=1.61e-02 q=4.84e-02 d=0.29,t=3.53 p=4.85e-04 q=2.64e-03 d=0.41,t=2.67 p=8.09e-03 q=2.81e-02 d=0.32,,
lipstick,,,,t=-3.05 p=2.48e-03 q=1.03e-02 d=0.33,t=-4.20 p=3.51e-05 q=2.70e-04 d=0.45,,t=-5.23 p=3.37e-07 q=3.98e-06 d=0.60,,,t=3.95 p=9.81e-05 q=6.86e-04 d=0.45,,
bra,,,,,t=-2.73 p=6.62e-03 q=2.38e-02 d=0.29,,,,,,,t=-6.97 p=2.05e-11 q=6.20e-10 d=0.77
windsor,t=-2.94 p=3.59e-03 q=1.40e-02 d=0.33,,,,,,t=-3.39 p=8.35e-04 q=4.11e-03 d=0.42,,,,,
desk,,,,,,,,,,,t=-2.62 p=9.26e-03 q=3.12e-02 d=0.29,t=5.07 p=6.92e-07 q=7.63e-06 d=0.55
library,t=-2.44 p=1.52e-02 q=4.69e-02 d=0.28,,,,,,t=-2.82 p=5.25e-03 q=1.94e-02 d=0.33,,t=-2.43 p=1.59e-02 q=4.80e-02 d=0.28,,,t=2.90 p=3.99e-03 q=1.53e-02 d=0.33
