True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,t=-3.74 p=3.00e-04 q=1.00e-03 d=0.13,,t=2.91 p=4.10e-03 q=1.18e-02 d=0.07,,,t=-4.65 p=0.00e+00 q=0.00e+00 d=0.33,t=5.18 p=0.00e+00 q=0.00e+00 d=0.32,,,t=-4.31 p=0.00e+00 q=2.00e-04 d=0.50,t=4.07 p=1.00e-04 q=4.00e-04 d=0.39
labcoat vs jeans,,,,t=-3.57 p=5.00e-04 q=1.80e-03 d=0.24,,,t=3.56 p=5.00e-04 q=1.90e-03 d=0.36,t=15.88 p=0.00e+00 q=0.00e+00 d=1.45,t=3.10 p=2.30e-03 q=7.10e-03 d=0.29,t=-5.10 p=0.00e+00 q=0.00e+00 d=0.45,t=-2.89 p=4.40e-03 q=1.24e-02 d=0.28,t=3.74 p=3.00e-04 q=1.10e-03 d=0.45
labcoat vs cardigan,,,,,,,t=3.94 p=1.00e-04 q=5.00e-04 d=0.35,t=11.75 p=0.00e+00 q=0.00e+00 d=1.07,t=5.37 p=0.00e+00 q=0.00e+00 d=0.50,t=-2.81 p=5.60e-03 q=1.54e-02 d=0.22,t=-7.73 p=0.00e+00 q=0.00e+00 d=1.01,
labcoat vs miniskirt,,,,t=-5.16 p=0.00e+00 q=0.00e+00 d=0.35,,t=-2.93 p=3.90e-03 q=1.12e-02 d=0.29,,t=17.72 p=0.00e+00 q=0.00e+00 d=2.15,t=8.08 p=0.00e+00 q=0.00e+00 d=0.99,t=-8.25 p=0.00e+00 q=0.00e+00 d=0.84,t=-8.86 p=0.00e+00 q=0.00e+00 d=1.07,t=-4.91 p=0.00e+00 q=0.00e+00 d=0.61
labcoat vs academicgown,,,,t=-6.20 p=0.00e+00 q=0.00e+00 d=0.58,,,t=-3.56 p=5.00e-04 q=1.80e-03 d=0.28,t=3.01 p=3.00e-03 q=9.00e-03 d=0.26,,t=-6.58 p=0.00e+00 q=0.00e+00 d=0.58,t=-14.92 p=0.00e+00 q=0.00e+00 d=1.56,t=9.08 p=0.00e+00 q=0.00e+00 d=1.23
labcoat vs pajamas,,t=-3.00 p=3.20e-03 q=9.40e-03 d=0.21,,t=-4.46 p=0.00e+00 q=1.00e-04 d=0.33,,,,t=12.28 p=0.00e+00 q=0.00e+00 d=1.10,t=4.08 p=1.00e-04 q=3.00e-04 d=0.38,,t=-14.26 p=0.00e+00 q=0.00e+00 d=1.33,t=3.34 p=1.10e-03 q=3.60e-03 d=0.43
labcoat vs oscilloscope,,,,,,,,t=-3.50 p=6.00e-04 q=2.20e-03 d=0.29,,,t=-4.48 p=0.00e+00 q=1.00e-04 d=0.57,t=12.02 p=0.00e+00 q=0.00e+00 d=1.04
labcoat vs suit,t=3.50 p=6.00e-04 q=2.30e-03 d=0.06,,,,,,,,,,t=-7.51 p=0.00e+00 q=0.00e+00 d=0.65,t=6.08 p=0.00e+00 q=0.00e+00 d=0.87
labcoat vs notePC,,,,,,,,,t=4.68 p=0.00e+00 q=0.00e+00 d=0.30,t=3.83 p=2.00e-04 q=8.00e-04 d=0.29,t=-10.65 p=0.00e+00 q=0.00e+00 d=0.89,t=5.78 p=0.00e+00 q=0.00e+00 d=0.65
labcoat vs sunscreen,,,,,,,,,,,t=-6.14 p=0.00e+00 q=0.00e+00 d=0.58,t=14.92 p=0.00e+00 q=0.00e+00 d=1.39
labcoat vs wig,,,,t=-5.11 p=0.00e+00 q=0.00e+00 d=0.48,,,,t=10.60 p=0.00e+00 q=0.00e+00 d=1.12,t=5.36 p=0.00e+00 q=0.00e+00 d=0.49,t=-2.49 p=1.41e-02 q=3.37e-02 d=0.21,t=-7.74 p=0.00e+00 q=0.00e+00 d=0.81,t=3.04 p=2.80e-03 q=8.50e-03 d=0.41
labcoat vs lipstick,,t=-3.97 p=1.00e-04 q=5.00e-04 d=0.53,,t=-9.35 p=0.00e+00 q=0.00e+00 d=1.27,,,t=-2.31 p=2.23e-02 q=5.00e-02 d=0.28,t=11.17 p=0.00e+00 q=0.00e+00 d=1.26,t=5.43 p=0.00e+00 q=0.00e+00 d=0.64,t=-2.39 p=1.79e-02 q=4.15e-02 d=0.25,t=-3.49 p=6.00e-04 q=2.30e-03 d=0.32,t=-7.19 p=0.00e+00 q=0.00e+00 d=1.02
labcoat vs bra,,t=-4.06 p=1.00e-04 q=4.00e-04 d=0.38,,t=-5.75 p=0.00e+00 q=0.00e+00 d=0.53,,,t=-3.31 p=1.20e-03 q=3.90e-03 d=0.37,t=12.79 p=0.00e+00 q=0.00e+00 d=1.38,t=5.27 p=0.00e+00 q=0.00e+00 d=0.65,t=-9.74 p=0.00e+00 q=0.00e+00 d=1.04,t=-3.02 p=3.00e-03 q=8.90e-03 d=0.31,
labcoat vs windsor,,,,,,t=2.75 p=6.70e-03 q=1.79e-02 d=0.14,,,t=-3.23 p=1.50e-03 q=4.90e-03 d=0.23,,t=-10.99 p=0.00e+00 q=0.00e+00 d=1.31,t=14.55 p=0.00e+00 q=0.00e+00 d=1.60
