True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,t=-2.40 p=1.73e-02 q=4.03e-02 d=0.04,,,,t=2.69 p=7.80e-03 q=2.04e-02 d=0.10,,t=2.83 p=5.20e-03 q=1.45e-02 d=0.10,t=2.39 p=1.79e-02 q=4.15e-02 d=0.09,,,t=3.99 p=1.00e-04 q=4.00e-04 d=0.41
labcoat vs jeans,,,,,t=2.60 p=1.02e-02 q=2.56e-02 d=0.20,,t=3.73 p=3.00e-04 q=1.00e-03 d=0.37,t=3.78 p=2.00e-04 q=9.00e-04 d=0.39,t=4.47 p=0.00e+00 q=1.00e-04 d=0.48,t=5.78 p=0.00e+00 q=0.00e+00 d=0.64,t=5.81 p=0.00e+00 q=0.00e+00 d=0.80,t=10.25 p=0.00e+00 q=0.00e+00 d=1.14
labcoat vs cardigan,,,,t=3.09 p=2.30e-03 q=7.10e-03 d=0.16,t=4.35 p=0.00e+00 q=1.00e-04 d=0.28,t=2.53 p=1.24e-02 q=3.03e-02 d=0.18,t=8.01 p=0.00e+00 q=0.00e+00 d=0.61,t=3.56 p=5.00e-04 q=1.80e-03 d=0.32,t=4.64 p=0.00e+00 q=0.00e+00 d=0.37,t=4.50 p=0.00e+00 q=1.00e-04 d=0.34,t=5.73 p=0.00e+00 q=0.00e+00 d=0.66,t=9.31 p=0.00e+00 q=0.00e+00 d=1.15
labcoat vs miniskirt,,,,,t=2.32 p=2.16e-02 q=4.87e-02 d=0.13,,t=4.50 p=0.00e+00 q=1.00e-04 d=0.38,t=3.65 p=3.00e-04 q=1.30e-03 d=0.29,t=3.83 p=2.00e-04 q=7.00e-04 d=0.29,t=7.19 p=0.00e+00 q=0.00e+00 d=0.53,t=7.94 p=0.00e+00 q=0.00e+00 d=0.75,t=10.77 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs academicgown,,,t=3.00 p=3.00e-03 q=9.00e-03 d=0.12,,t=2.32 p=2.16e-02 q=4.87e-02 d=0.12,t=3.37 p=9.00e-04 q=3.20e-03 d=0.17,t=4.54 p=0.00e+00 q=1.00e-04 d=0.27,,,,,
labcoat vs pajamas,t=-2.81 p=5.50e-03 q=1.51e-02 d=0.03,,,,t=4.52 p=0.00e+00 q=1.00e-04 d=0.21,t=2.39 p=1.77e-02 q=4.11e-02 d=0.13,t=3.32 p=1.10e-03 q=3.60e-03 d=0.18,,,,t=-5.11 p=0.00e+00 q=0.00e+00 d=0.40,t=2.65 p=8.70e-03 q=2.24e-02 d=0.21
labcoat vs oscilloscope,t=-3.09 p=2.30e-03 q=7.10e-03 d=0.26,,,,t=3.14 p=2.00e-03 q=6.20e-03 d=0.29,t=4.50 p=0.00e+00 q=1.00e-04 d=0.40,t=5.45 p=0.00e+00 q=0.00e+00 d=0.47,,t=3.55 p=5.00e-04 q=1.80e-03 d=0.34,,t=4.86 p=0.00e+00 q=0.00e+00 d=0.46,t=15.04 p=0.00e+00 q=0.00e+00 d=1.81
labcoat vs suit,,,,,t=2.94 p=3.70e-03 q=1.08e-02 d=0.20,,t=6.53 p=0.00e+00 q=0.00e+00 d=0.49,t=2.64 p=8.90e-03 q=2.29e-02 d=0.22,t=7.09 p=0.00e+00 q=0.00e+00 d=0.45,t=2.96 p=3.40e-03 q=1.01e-02 d=0.23,t=6.84 p=0.00e+00 q=0.00e+00 d=0.70,t=8.28 p=0.00e+00 q=0.00e+00 d=1.08
labcoat vs notePC,,,,,,t=5.47 p=0.00e+00 q=0.00e+00 d=0.24,t=5.94 p=0.00e+00 q=0.00e+00 d=0.39,t=5.55 p=0.00e+00 q=0.00e+00 d=0.34,t=2.49 p=1.36e-02 q=3.27e-02 d=0.17,,t=4.28 p=0.00e+00 q=1.00e-04 d=0.41,t=9.85 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs sunscreen,,,,,,t=2.31 p=2.20e-02 q=4.95e-02 d=0.13,,t=5.41 p=0.00e+00 q=0.00e+00 d=0.37,t=3.56 p=5.00e-04 q=1.80e-03 d=0.30,t=4.41 p=0.00e+00 q=1.00e-04 d=0.40,t=4.96 p=0.00e+00 q=0.00e+00 d=0.62,t=9.02 p=0.00e+00 q=0.00e+00 d=1.04
