True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,,t=2.47 p=1.45e-02 q=3.44e-02 d=0.11,,,,t=-5.08 p=0.00e+00 q=0.00e+00 d=0.21,,t=3.23 p=1.50e-03 q=4.90e-03 d=0.23,t=3.66 p=3.00e-04 q=1.30e-03 d=0.26,t=-8.43 p=0.00e+00 q=0.00e+00 d=0.74,t=-14.85 p=0.00e+00 q=0.00e+00 d=1.12
labcoat vs jeans,,,,t=-3.44 p=7.00e-04 q=2.60e-03 d=0.20,t=2.65 p=8.70e-03 q=2.25e-02 d=0.29,,t=5.01 p=0.00e+00 q=0.00e+00 d=0.47,,t=2.90 p=4.20e-03 q=1.19e-02 d=0.27,,t=-3.64 p=4.00e-04 q=1.40e-03 d=0.28,t=-4.18 p=0.00e+00 q=2.00e-04 d=0.44
labcoat vs cardigan,,,,t=-2.73 p=6.90e-03 q=1.84e-02 d=0.13,t=3.87 p=1.00e-04 q=6.00e-04 d=0.32,,t=2.36 p=1.92e-02 q=4.41e-02 d=0.16,t=2.40 p=1.73e-02 q=4.03e-02 d=0.22,t=12.44 p=0.00e+00 q=0.00e+00 d=1.15,,t=-9.03 p=0.00e+00 q=0.00e+00 d=0.95,t=-4.01 p=1.00e-04 q=4.00e-04 d=0.46
labcoat vs miniskirt,,,,t=-4.23 p=0.00e+00 q=2.00e-04 d=0.32,t=2.56 p=1.13e-02 q=2.80e-02 d=0.28,,t=3.98 p=1.00e-04 q=4.00e-04 d=0.36,,t=7.58 p=0.00e+00 q=0.00e+00 d=0.80,,t=-14.21 p=0.00e+00 q=0.00e+00 d=1.29,t=-10.27 p=0.00e+00 q=0.00e+00 d=1.08
labcoat vs academicgown,t=-5.60 p=0.00e+00 q=0.00e+00 d=0.50,t=-5.23 p=0.00e+00 q=0.00e+00 d=0.44,,t=-8.11 p=0.00e+00 q=0.00e+00 d=0.71,,,t=-5.14 p=0.00e+00 q=0.00e+00 d=0.33,t=-4.86 p=0.00e+00 q=0.00e+00 d=0.38,t=-10.28 p=0.00e+00 q=0.00e+00 d=0.76,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.44,t=-11.98 p=0.00e+00 q=0.00e+00 d=0.97,t=8.89 p=0.00e+00 q=0.00e+00 d=0.99
labcoat vs pajamas,t=-3.50 p=6.00e-04 q=2.10e-03 d=0.04,t=-3.59 p=4.00e-04 q=1.60e-03 d=0.16,t=-2.59 p=1.04e-02 q=2.60e-02 d=0.15,,,,,t=5.18 p=0.00e+00 q=0.00e+00 d=0.35,t=11.54 p=0.00e+00 q=0.00e+00 d=1.10,t=2.48 p=1.42e-02 q=3.40e-02 d=0.21,t=-11.42 p=0.00e+00 q=0.00e+00 d=0.92,
labcoat vs oscilloscope,t=-2.62 p=9.50e-03 q=2.42e-02 d=0.11,,t=4.65 p=0.00e+00 q=0.00e+00 d=0.33,t=-3.09 p=2.30e-03 q=7.20e-03 d=0.18,,,,t=-3.12 p=2.10e-03 q=6.70e-03 d=0.31,,,t=-11.61 p=0.00e+00 q=0.00e+00 d=1.09,t=-7.52 p=0.00e+00 q=0.00e+00 d=0.87
labcoat vs suit,,t=-2.57 p=1.11e-02 q=2.75e-02 d=0.24,,t=-5.43 p=0.00e+00 q=0.00e+00 d=0.45,t=2.79 p=5.80e-03 q=1.58e-02 d=0.32,,t=2.81 p=5.50e-03 q=1.53e-02 d=0.26,t=-3.96 p=1.00e-04 q=5.00e-04 d=0.36,t=-6.05 p=0.00e+00 q=0.00e+00 d=0.53,,t=-7.75 p=0.00e+00 q=0.00e+00 d=0.51,
labcoat vs notePC,,,t=4.30 p=0.00e+00 q=1.00e-04 d=0.25,t=2.73 p=6.90e-03 q=1.84e-02 d=0.06,,,,t=-3.27 p=1.30e-03 q=4.30e-03 d=0.28,t=6.53 p=0.00e+00 q=0.00e+00 d=0.46,t=4.51 p=0.00e+00 q=1.00e-04 d=0.41,t=-3.90 p=1.00e-04 q=6.00e-04 d=0.31,t=5.40 p=0.00e+00 q=0.00e+00 d=0.45
labcoat vs sunscreen,,,t=3.69 p=3.00e-04 q=1.20e-03 d=0.22,,,,,t=-5.45 p=0.00e+00 q=0.00e+00 d=0.48,,t=3.91 p=1.00e-04 q=6.00e-04 d=0.36,t=-6.99 p=0.00e+00 q=0.00e+00 d=0.47,
