True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,,t=-4.56 p=0.00e+00 q=1.00e-04 d=0.17,,,,,,,,,,t=3.94 p=1.00e-04 q=5.00e-04 d=0.41
labcoat vs jeans,,,t=2.62 p=9.50e-03 q=2.43e-02 d=0.20,t=2.67 p=8.30e-03 q=2.15e-02 d=0.22,t=3.20 p=1.60e-03 q=5.20e-03 d=0.30,,,t=4.05 p=1.00e-04 q=4.00e-04 d=0.44,t=3.91 p=1.00e-04 q=6.00e-04 d=0.45,t=3.67 p=3.00e-04 q=1.30e-03 d=0.42,t=4.61 p=0.00e+00 q=0.00e+00 d=0.64,t=10.11 p=0.00e+00 q=0.00e+00 d=1.14
labcoat vs cardigan,,,t=3.96 p=1.00e-04 q=5.00e-04 d=0.27,t=3.57 p=5.00e-04 q=1.80e-03 d=0.25,t=4.09 p=1.00e-04 q=3.00e-04 d=0.32,,t=3.14 p=2.00e-03 q=6.30e-03 d=0.27,t=5.07 p=0.00e+00 q=0.00e+00 d=0.44,t=5.64 p=0.00e+00 q=0.00e+00 d=0.46,t=4.49 p=0.00e+00 q=1.00e-04 d=0.41,t=4.77 p=0.00e+00 q=0.00e+00 d=0.56,t=9.18 p=0.00e+00 q=0.00e+00 d=1.15
labcoat vs miniskirt,,,,,t=2.77 p=6.10e-03 q=1.67e-02 d=0.25,,,t=3.17 p=1.80e-03 q=5.70e-03 d=0.31,t=5.54 p=0.00e+00 q=0.00e+00 d=0.50,t=4.55 p=0.00e+00 q=1.00e-04 d=0.43,t=5.53 p=0.00e+00 q=0.00e+00 d=0.58,t=10.62 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs academicgown,,,t=4.31 p=0.00e+00 q=1.00e-04 d=0.35,t=4.23 p=0.00e+00 q=2.00e-04 d=0.34,t=4.30 p=0.00e+00 q=1.00e-04 d=0.32,,t=-3.63 p=4.00e-04 q=1.40e-03 d=0.31,,,,,
labcoat vs pajamas,,,t=3.27 p=1.30e-03 q=4.20e-03 d=0.16,t=2.60 p=1.01e-02 q=2.54e-02 d=0.14,t=4.53 p=0.00e+00 q=1.00e-04 d=0.31,t=2.81 p=5.60e-03 q=1.53e-02 d=0.19,,,,t=3.83 p=2.00e-04 q=7.00e-04 d=0.24,t=-3.91 p=1.00e-04 q=6.00e-04 d=0.30,t=2.62 p=9.60e-03 q=2.45e-02 d=0.21
labcoat vs oscilloscope,,,,,,,,,,,t=2.95 p=3.60e-03 q=1.05e-02 d=0.29,t=14.84 p=0.00e+00 q=0.00e+00 d=1.81
labcoat vs suit,,,,t=3.31 p=1.10e-03 q=3.80e-03 d=0.31,t=3.74 p=2.00e-04 q=1.00e-03 d=0.34,,,,t=3.88 p=1.00e-04 q=6.00e-04 d=0.32,,t=5.52 p=0.00e+00 q=0.00e+00 d=0.55,t=8.17 p=0.00e+00 q=0.00e+00 d=1.08
labcoat vs notePC,,,,,,,,,t=2.77 p=6.10e-03 q=1.66e-02 d=0.21,,,t=9.72 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs sunscreen,,t=-2.48 p=1.42e-02 q=3.40e-02 d=0.11,,,,,t=-2.55 p=1.17e-02 q=2.88e-02 d=0.22,t=5.04 p=0.00e+00 q=0.00e+00 d=0.49,t=4.56 p=0.00e+00 q=1.00e-04 d=0.43,t=3.11 p=2.20e-03 q=6.70e-03 d=0.31,t=4.51 p=0.00e+00 q=1.00e-04 d=0.57,t=8.90 p=0.00e+00 q=0.00e+00 d=1.04
labcoat vs wig,,,t=3.05 p=2.60e-03 q=7.90e-03 d=0.27,t=4.01 p=1.00e-04 q=4.00e-04 d=0.33,,,t=3.22 p=1.50e-03 q=5.00e-03 d=0.30,t=3.40 p=8.00e-04 q=2.90e-03 d=0.29,t=3.06 p=2.50e-03 q=7.70e-03 d=0.29,,,t=7.47 p=0.00e+00 q=0.00e+00 d=1.01
labcoat vs lipstick,t=2.51 p=1.31e-02 q=3.18e-02 d=0.19,t=-2.74 p=6.70e-03 q=1.80e-02 d=0.24,,,,,,t=4.28 p=0.00e+00 q=2.00e-04 d=0.42,t=2.84 p=5.00e-03 q=1.41e-02 d=0.28,t=3.60 p=4.00e-04 q=1.60e-03 d=0.37,t=6.31 p=0.00e+00 q=0.00e+00 d=0.51,t=14.92 p=0.00e+00 q=0.00e+00 d=1.43
labcoat vs bra,,,,t=3.86 p=2.00e-04 q=7.00e-04 d=0.19,,,,t=5.78 p=0.00e+00 q=0.00e+00 d=0.55,t=7.02 p=0.00e+00 q=0.00e+00 d=0.52,t=7.48 p=0.00e+00 q=0.00e+00 d=0.59,t=8.04 p=0.00e+00 q=0.00e+00 d=0.63,t=6.18 p=0.00e+00 q=0.00e+00 d=0.83
labcoat vs windsor,,,t=2.61 p=9.90e-03 q=2.51e-02 d=0.25,t=3.29 p=1.20e-03 q=4.00e-03 d=0.29,t=3.45 p=7.00e-04 q=2.50e-03 d=0.26,,,t=4.44 p=0.00e+00 q=1.00e-04 d=0.40,t=2.96 p=3.50e-03 q=1.03e-02 d=0.22,t=3.85 p=2.00e-04 q=7.00e-04 d=0.33,t=6.52 p=0.00e+00 q=0.00e+00 d=0.41,t=5.26 p=0.00e+00 q=0.00e+00 d=0.69
labcoat vs desk,,,,,t=2.61 p=9.70e-03 q=2.47e-02 d=0.24,,,t=3.31 p=1.10e-03 q=3.80e-03 d=0.30,t=2.64 p=9.00e-03 q=2.32e-02 d=0.24,,,t=9.53 p=0.00e+00 q=0.00e+00 d=1.22
labcoat vs library,,,t=2.87 p=4.60e-03 q=1.29e-02 d=0.21,,,,t=-2.79 p=5.90e-03 q=1.62e-02 d=0.26,,,t=-3.29 p=1.20e-03 q=4.00e-03 d=0.31,,t=7.16 p=0.00e+00 q=0.00e+00 d=0.60
stethoscope vs jeans,,t=2.70 p=7.60e-03 q=1.99e-02 d=0.20,t=2.94 p=3.70e-03 q=1.08e-02 d=0.25,t=2.36 p=1.94e-02 q=4.44e-02 d=0.19,t=2.58 p=1.08e-02 q=2.68e-02 d=0.25,,,t=3.55 p=5.00e-04 q=1.80e-03 d=0.33,t=4.53 p=0.00e+00 q=1.00e-04 d=0.49,t=4.53 p=0.00e+00 q=1.00e-04 d=0.47,t=7.16 p=0.00e+00 q=0.00e+00 d=0.81,t=4.09 p=1.00e-04 q=3.00e-04 d=0.44
stethoscope vs cardigan,,t=2.94 p=3.70e-03 q=1.07e-02 d=0.18,t=4.44 p=0.00e+00 q=1.00e-04 d=0.32,t=3.17 p=1.80e-03 q=5.80e-03 d=0.22,t=3.48 p=6.00e-04 q=2.30e-03 d=0.26,,t=3.93 p=1.00e-04 q=5.00e-04 d=0.34,t=3.82 p=2.00e-04 q=8.00e-04 d=0.33,t=6.22 p=0.00e+00 q=0.00e+00 d=0.50,t=5.03 p=0.00e+00 q=0.00e+00 d=0.46,t=6.16 p=0.00e+00 q=0.00e+00 d=0.76,t=2.53 p=1.23e-02 q=3.01e-02 d=0.27
stethoscope vs miniskirt,,,,,,,,t=2.32 p=2.17e-02 q=4.89e-02 d=0.21,t=6.23 p=0.00e+00 q=0.00e+00 d=0.53,t=5.14 p=0.00e+00 q=0.00e+00 d=0.48,t=6.96 p=0.00e+00 q=0.00e+00 d=0.74,t=2.72 p=7.20e-03 q=1.90e-02 d=0.31
stethoscope vs academicgown,,,t=4.53 p=0.00e+00 q=1.00e-04 d=0.40,t=3.37 p=9.00e-04 q=3.10e-03 d=0.30,t=3.74 p=2.00e-04 q=1.00e-03 d=0.26,,,t=-2.95 p=3.60e-03 q=1.04e-02 d=0.30,,,,t=-3.62 p=4.00e-04 q=1.50e-03 d=0.38
stethoscope vs pajamas,,t=4.60 p=0.00e+00 q=0.00e+00 d=0.20,t=3.77 p=2.00e-04 q=9.00e-04 d=0.21,t=2.32 p=2.17e-02 q=4.89e-02 d=0.13,t=3.97 p=1.00e-04 q=5.00e-04 d=0.26,,,,t=2.50 p=1.33e-02 q=3.21e-02 d=0.17,t=4.68 p=0.00e+00 q=0.00e+00 d=0.29,t=-2.73 p=7.00e-03 q=1.87e-02 d=0.20,t=-3.41 p=8.00e-04 q=2.80e-03 d=0.30
stethoscope vs oscilloscope,,,t=2.52 p=1.26e-02 q=3.06e-02 d=0.17,,,,,,t=2.49 p=1.36e-02 q=3.27e-02 d=0.21,,t=4.01 p=1.00e-04 q=4.00e-04 d=0.45,t=5.62 p=0.00e+00 q=0.00e+00 d=0.62
stethoscope vs suit,,,t=2.37 p=1.88e-02 q=4.32e-02 d=0.27,t=2.68 p=8.10e-03 q=2.12e-02 d=0.28,t=2.87 p=4.70e-03 q=1.31e-02 d=0.28,,,,t=4.28 p=0.00e+00 q=2.00e-04 d=0.35,,t=5.41 p=0.00e+00 q=0.00e+00 d=0.69,t=3.05 p=2.60e-03 q=8.00e-03 d=0.39
stethoscope vs notePC,,t=4.01 p=1.00e-04 q=4.00e-04 d=0.13,,,,,,,t=3.31 p=1.10e-03 q=3.80e-03 d=0.24,,t=2.72 p=7.20e-03 q=1.92e-02 d=0.32,t=4.22 p=0.00e+00 q=2.00e-04 d=0.52
stethoscope vs sunscreen,,,,,t=-2.89 p=4.30e-03 q=1.23e-02 d=0.15,,,t=4.74 p=0.00e+00 q=0.00e+00 d=0.38,t=5.54 p=0.00e+00 q=0.00e+00 d=0.46,t=4.11 p=1.00e-04 q=3.00e-04 d=0.36,t=7.27 p=0.00e+00 q=0.00e+00 d=0.74,t=3.37 p=9.00e-04 q=3.20e-03 d=0.35
stethoscope vs wig,,,t=3.25 p=1.40e-03 q=4.50e-03 d=0.32,t=3.21 p=1.60e-03 q=5.10e-03 d=0.30,,,t=3.69 p=3.00e-04 q=1.20e-03 d=0.37,,t=3.48 p=6.00e-04 q=2.30e-03 d=0.32,,,t=3.15 p=1.90e-03 q=6.10e-03 d=0.23
stethoscope vs lipstick,t=2.42 p=1.64e-02 q=3.85e-02 d=0.18,,,,,,,t=4.09 p=1.00e-04 q=3.00e-04 d=0.31,t=3.50 p=6.00e-04 q=2.10e-03 d=0.30,t=4.96 p=0.00e+00 q=0.00e+00 d=0.42,t=8.49 p=0.00e+00 q=0.00e+00 d=0.69,t=4.27 p=0.00e+00 q=2.00e-04 d=0.41
