True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat,,,t=3.75 p=2.14e-04 q=1.31e-03 d=0.41,,,,t=-2.54 p=1.17e-02 q=3.71e-02 d=0.30,t=3.16 p=1.74e-03 q=7.58e-03 d=0.36,t=4.98 p=1.66e-06 q=1.67e-05 d=0.66,,,t=12.23 p=3.74e-28 q=1.02e-25 d=1.28
stethoscope,,,t=3.39 p=7.98e-04 q=3.99e-03 d=0.36,,,,t=-2.74 p=6.53e-03 q=2.38e-02 d=0.33,t=2.73 p=6.63e-03 q=2.38e-02 d=0.31,t=5.42 p=2.04e-07 q=2.52e-06 d=0.70,,,
jeans,,t=2.56 p=1.13e-02 q=3.62e-02 d=0.32,t=3.58 p=4.04e-04 q=2.26e-03 d=0.41,,,,,t=-3.34 p=9.53e-04 q=4.66e-03 d=0.36,,,,
cardigan,,,t=4.27 p=2.77e-05 q=2.17e-04 d=0.49,,,,,t=2.48 p=1.38e-02 q=4.30e-02 d=0.30,t=7.21 p=1.07e-11 q=3.36e-10 d=0.89,,,
miniskirt,,,t=3.28 p=1.15e-03 q=5.40e-03 d=0.37,,t=3.04 p=2.70e-03 q=1.08e-02 d=0.38,,t=-2.70 p=7.45e-03 q=2.62e-02 d=0.31,t=-3.45 p=6.43e-04 q=3.28e-03 d=0.38,,t=3.86 p=1.40e-04 q=9.32e-04 d=0.44,t=-2.57 p=1.07e-02 q=3.53e-02 d=0.29,
academicgown,,,t=3.67 p=2.90e-04 q=1.72e-03 d=0.41,,,,,,,,t=4.28 p=2.51e-05 q=2.04e-04 d=0.47,t=2.93 p=3.78e-03 q=1.46e-02 d=0.35
pajamas,,,t=3.95 p=9.68e-05 q=6.86e-04 d=0.44,,,,t=-3.24 p=1.37e-03 q=6.18e-03 d=0.39,,t=6.64 p=1.62e-10 q=3.78e-09 d=0.76,,t=2.61 p=9.48e-03 q=3.17e-02 d=0.29,
oscilloscope,,,,t=3.06 p=2.45e-03 q=1.03e-02 d=0.35,,,,t=8.45 p=5.21e-15 q=2.24e-13 d=1.04,t=5.05 p=8.12e-07 q=8.83e-06 d=0.58,,t=-3.68 p=2.89e-04 q=1.72e-03 d=0.43,t=-6.44 p=5.29e-10 q=1.17e-08 d=0.74
suit,,,t=3.02 p=2.80e-03 q=1.11e-02 d=0.35,,,,,t=3.50 p=5.48e-04 q=2.90e-03 d=0.41,,,,t=8.01 p=5.91e-14 q=2.19e-12 d=0.96
notePC,,,,,,,t=-4.01 p=8.14e-05 q=5.93e-04 d=0.49,,t=6.87 p=8.44e-11 q=2.09e-09 d=0.86,,,t=6.50 p=5.29e-10 q=1.17e-08 d=0.79
sunscreen,,,t=3.89 p=1.21e-04 q=8.21e-04 d=0.42,,,,t=-4.22 p=3.37e-05 q=2.62e-04 d=0.48,,,t=3.97 p=9.01e-05 q=6.45e-04 d=0.41,t=2.44 p=1.54e-02 q=4.71e-02 d=0.30,t=-5.52 p=1.45e-07 q=1.85e-06 d=0.74
wig,,,t=3.62 p=3.51e-04 q=1.98e-03 d=0.40,,,t=-2.71 p=7.25e-03 q=2.57e-02 d=0.32,t=-3.25 p=1.28e-03 q=5.82e-03 d=0.36,,t=3.54 p=4.71e-04 q=2.58e-03 d=0.42,t=-3.21 p=1.46e-03 q=6.55e-03 d=0.34,t=-2.69 p=7.70e-03 q=2.70e-02 d=0.32,
lipstick,t=3.09 p=2.18e-03 q=9.23e-03 d=0.36,t=4.03 p=7.23e-05 q=5.36e-04 d=0.46,,t=5.60 p=5.44e-08 q=7.40e-07 d=0.65,,t=-2.43 p=1.56e-02 q=4.74e-02 d=0.28,t=-4.92 p=1.57e-06 q=1.62e-05 d=0.58,,t=6.24 p=1.99e-09 q=3.77e-08 d=0.74,,t=-3.31 p=1.05e-03 q=5.02e-03 d=0.39,t=5.73 p=3.04e-08 q=4.44e-07 d=0.57
bra,,,t=4.76 p=3.03e-06 q=2.90e-05 d=0.52,,t=2.99 p=3.04e-03 q=1.21e-02 d=0.34,,t=-5.42 p=1.36e-07 q=1.76e-06 d=0.63,t=-3.79 p=1.79e-04 q=1.13e-03 d=0.41,,t=3.08 p=2.31e-03 q=9.71e-03 d=0.31,,
windsor,,,t=4.89 p=1.69e-06 q=1.68e-05 d=0.56,,,,,t=4.48 p=1.16e-05 q=1.04e-04 d=0.53,,t=-4.42 p=1.45e-05 q=1.24e-04 d=0.52,t=3.13 p=1.93e-03 q=8.35e-03 d=0.35,
desk,,,,,,,t=-3.06 p=2.46e-03 q=1.03e-02 d=0.37,t=2.63 p=9.13e-03 q=3.10e-02 d=0.32,t=6.77 p=1.43e-10 q=3.44e-09 d=0.84,,t=-3.97 p=8.78e-05 q=6.34e-04 d=0.43,t=8.63 p=3.65e-16 q=1.86e-14 d=0.95
library,,,,,,,,t=4.40 p=1.75e-05 q=1.46e-04 d=0.54,t=4.93 p=1.64e-06 q=1.67e-05 d=0.60,,,t=2.83 p=5.14e-03 q=1.93e-02 d=0.37
