True,Layer 0,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11
labcoat vs stethoscope,t=2.76 p=6.60e-03 q=1.78e-02 d=0.04,,t=3.46 p=7.00e-04 q=2.70e-03 d=0.13,t=-3.05 p=2.80e-03 q=8.30e-03 d=0.08,t=3.38 p=1.00e-03 q=3.30e-03 d=0.23,,,t=2.75 p=6.90e-03 q=1.84e-02 d=0.08,,,t=-3.60 p=5.00e-04 q=1.70e-03 d=0.48,t=3.71 p=3.00e-04 q=1.20e-03 d=0.39
labcoat vs jeans,t=-2.74 p=7.10e-03 q=1.88e-02 d=0.15,t=-4.03 p=1.00e-04 q=4.00e-04 d=0.25,,t=-4.41 p=0.00e+00 q=1.00e-04 d=0.36,,,,t=12.72 p=0.00e+00 q=0.00e+00 d=1.04,t=5.85 p=0.00e+00 q=0.00e+00 d=0.58,t=-5.29 p=0.00e+00 q=0.00e+00 d=0.59,t=-4.29 p=0.00e+00 q=2.00e-04 d=0.38,t=3.41 p=9.00e-04 q=3.00e-03 d=0.45
labcoat vs cardigan,,,t=-2.34 p=2.09e-02 q=4.73e-02 d=0.14,t=-2.52 p=1.29e-02 q=3.14e-02 d=0.17,,,,t=7.73 p=0.00e+00 q=0.00e+00 d=0.50,t=7.49 p=0.00e+00 q=0.00e+00 d=0.67,t=-3.09 p=2.40e-03 q=7.50e-03 d=0.28,t=-7.82 p=0.00e+00 q=0.00e+00 d=1.18,
labcoat vs miniskirt,,,,,,,t=4.63 p=0.00e+00 q=1.00e-04 d=0.28,t=14.61 p=0.00e+00 q=0.00e+00 d=1.14,t=7.68 p=0.00e+00 q=0.00e+00 d=0.88,t=-8.10 p=0.00e+00 q=0.00e+00 d=0.66,t=-7.90 p=0.00e+00 q=0.00e+00 d=1.14,t=-4.48 p=0.00e+00 q=1.00e-04 d=0.61
labcoat vs academicgown,t=4.07 p=1.00e-04 q=4.00e-04 d=0.04,,,,,,t=-2.37 p=1.91e-02 q=4.39e-02 d=0.11,,,t=-6.19 p=0.00e+00 q=0.00e+00 d=0.58,t=-13.01 p=0.00e+00 q=0.00e+00 d=1.48,t=8.29 p=0.00e+00 q=0.00e+00 d=1.23
labcoat vs pajamas,,t=-3.52 p=6.00e-04 q=2.20e-03 d=0.14,,t=-3.44 p=8.00e-04 q=2.80e-03 d=0.29,,,t=4.87 p=0.00e+00 q=0.00e+00 d=0.23,t=11.43 p=0.00e+00 q=0.00e+00 d=0.73,t=6.83 p=0.00e+00 q=0.00e+00 d=0.53,t=-5.54 p=0.00e+00 q=0.00e+00 d=0.44,t=-11.65 p=0.00e+00 q=0.00e+00 d=1.22,t=3.05 p=2.80e-03 q=8.50e-03 d=0.43
labcoat vs oscilloscope,t=-2.76 p=6.60e-03 q=1.77e-02 d=0.31,t=-3.93 p=1.00e-04 q=6.00e-04 d=0.53,t=3.16 p=2.00e-03 q=6.30e-03 d=0.39,t=-8.60 p=0.00e+00 q=0.00e+00 d=1.12,t=3.89 p=2.00e-04 q=7.00e-04 d=0.45,,t=3.50 p=6.00e-04 q=2.30e-03 d=0.36,t=-3.62 p=4.00e-04 q=1.60e-03 d=0.40,,t=-4.30 p=0.00e+00 q=2.00e-04 d=0.58,t=-5.99 p=0.00e+00 q=0.00e+00 d=0.83,t=10.96 p=0.00e+00 q=0.00e+00 d=1.04
labcoat vs suit,,,,,,t=-3.60 p=5.00e-04 q=1.70e-03 d=0.13,t=-2.51 p=1.35e-02 q=3.25e-02 d=0.17,t=-3.61 p=4.00e-04 q=1.70e-03 d=0.23,,,t=-5.47 p=0.00e+00 q=0.00e+00 d=0.49,t=5.55 p=0.00e+00 q=0.00e+00 d=0.87
labcoat vs notePC,,,t=3.81 p=2.00e-04 q=9.00e-04 d=0.26,t=-2.88 p=4.70e-03 q=1.32e-02 d=0.21,,,t=3.19 p=1.80e-03 q=5.70e-03 d=0.15,t=5.67 p=0.00e+00 q=0.00e+00 d=0.34,t=4.62 p=0.00e+00 q=1.00e-04 d=0.30,,t=-12.20 p=0.00e+00 q=0.00e+00 d=1.04,t=5.28 p=0.00e+00 q=0.00e+00 d=0.65
labcoat vs sunscreen,t=3.70 p=3.00e-04 q=1.30e-03 d=0.17,t=-2.74 p=7.00e-03 q=1.86e-02 d=0.14,,t=-4.63 p=0.00e+00 q=1.00e-04 d=0.24,,,,t=7.13 p=0.00e+00 q=0.00e+00 d=0.56,,t=-4.03 p=1.00e-04 q=4.00e-04 d=0.39,t=-6.73 p=0.00e+00 q=0.00e+00 d=0.66,t=13.61 p=0.00e+00 q=0.00e+00 d=1.39
